DATE,Housing Index,New Private Housing Units,Unemployment rate,"All employee, Social Assistance ","All Employee, Education, Health Service",Median Household Income
2000-01-01,229.98,7993.2154466826573333,3.6333333333333333,309.8333333333333333,345.9000000000000000,41901
2000-04-01,233.73,7696.0300495602305000,3.7000000000000000,311.7333333333333333,348.7666666666666667,41901
2000-07-01,237.51,7486.8177397707826667,3.6000000000000000,312.8000000000000000,352.2666666666666667,41901
2000-10-01,241.4,7551.9636519164736667,3.4000000000000000,315.4333333333333333,354.5333333333333333,41901
2001-01-01,248.19,7833.7102883263133333,3.5666666666666667,315.8666666666666667,358.0000000000000000,42576
2001-04-01,251.22,8189.5556314214200000,3.7333333333333333,316.9666666666666667,358.9000000000000000,42576
2001-07-01,254.44,7579.4691981122463333,4.1000000000000000,319.9000000000000000,362.1000000000000000,42576
2001-10-01,257.75,7346.7209925229930000,4.7333333333333333,322.8666666666666667,365.2333333333333333,42576
2002-01-01,259.95,7885.0428339840868333,5.0666666666666667,325.9333333333333333,368.7000000000000000,42939
2002-04-01,261.89,8518.5522715540466667,5.0333333333333333,328.6000000000000000,371.4000000000000000,42939
2002-07-01,266.21,7713.5724414635070000,4.9000000000000000,330.6000000000000000,374.1333333333333333,42939
2002-10-01,269.28,7850.2655824812563333,5.0000000000000000,332.7666666666666667,376.7000000000000000,42939
2003-01-01,271.38,7434.7698507633493333,5.0000000000000000,336.0333333333333333,383.5000000000000000,42438
2003-04-01,273.18,7105.0824493732170000,5.0333333333333333,340.1333333333333333,390.1666666666666667,42438
2003-07-01,274.84,8531.6810018424073333,4.8666666666666667,343.2666666666666667,393.1000000000000000,42438
2003-10-01,278.4,8437.9761830811300000,4.4000000000000000,343.4666666666666667,393.8666666666666667,42438
2004-01-01,282.23,8659.5991939982766667,4.3666666666666667,349.2333333333333333,399.4000000000000000,40984
2004-04-01,284.1,8227.9599013119770000,4.7000000000000000,351.2666666666666667,401.4666666666666667,40984
2004-07-01,288.02,8838.3430672697530000,4.8666666666666667,354.0666666666666667,405.5666666666666667,40984
2004-10-01,292.53,9752.2921470899256667,5.1000000000000000,359.1666666666666667,410.8666666666666667,40984
2005-01-01,296.33,8258.9869444406700000,5.3666666666666667,359.1333333333333333,411.7000000000000000,45926
2005-04-01,300.32,8487.7407444289696667,5.3666666666666667,364.2333333333333333,417.1666666666666667,45926
2005-07-01,305.27,8892.0816440571970000,5.3666666666666667,368.2000000000000000,421.8333333333333333,45926
2005-10-01,309.33,8794.7408024413030000,5.2000000000000000,370.4000000000000000,424.3666666666666667,45926
2006-01-01,312.43,9134.1332140577466667,4.8666666666666667,374.1000000000000000,429.7000000000000000,49344
2006-04-01,314.38,8563.4472776816593333,4.8000000000000000,374.7666666666666667,430.7666666666666667,49344
2006-07-01,316.9,7426.8417059952566667,4.7333333333333333,376.6666666666666667,433.3000000000000000,49344
2006-10-01,322.82,7732.6234838160901667,4.5000000000000000,382.5666666666666667,440.4000000000000000,49344
2007-01-01,325.48,7151.4183941109435000,4.3000000000000000,385.0666666666666667,443.0333333333333333,48641
2007-04-01,326.51,6531.2612697701536667,4.3666666666666667,387.5333333333333333,446.4000000000000000,48641
2007-07-01,324.49,4983.2042892123966667,4.6000000000000000,390.9666666666666667,450.6000000000000000,48641
2007-10-01,326.59,4018.5697614044268000,4.9000000000000000,392.6000000000000000,453.1000000000000000,48641
2008-01-01,326.99,3350.7581527336835667,5.2333333333333333,395.3333333333333333,455.8666666666666667,46227
2008-04-01,321.91,2968.1298684742300000,5.7000000000000000,395.5333333333333333,456.9666666666666667,46227
2008-07-01,313.19,2646.9755494029898667,6.4000000000000000,397.0000000000000000,459.0333333333333333,46227
2008-10-01,311.88,1574.8449244632633333,7.7333333333333333,399.1666666666666667,461.3666666666666667,46227
2009-01-01,318.56,1222.6413160059499667,9.1000000000000000,399.3000000000000000,463.4333333333333333,43340
2009-04-01,308.85,1370.0903729138333333,9.8666666666666667,400.2666666666666667,464.4666666666666667,43340
2009-07-01,296.15,1593.5420155053266667,10.3000000000000000,399.3000000000000000,465.0333333333333333,43340
2009-10-01,291.83,1621.3244174747934000,10.4666666666666667,402.3000000000000000,467.8333333333333333,43340
2010-01-01,286.23,1448.2231057250566000,10.5666666666666667,404.4333333333333333,470.9000000000000000,44117
2010-04-01,280.16,1317.6562114871232667,10.4000000000000000,406.4333333333333333,474.4333333333333333,44117
2010-07-01,282.87,1427.2875616790133333,10.4000000000000000,410.2666666666666667,479.3333333333333333,44117
2010-10-01,279.01,1241.7025050288833333,10.6000000000000000,411.8333333333333333,481.9333333333333333,44117
2011-01-01,268.81,1394.3214810399467667,10.4000000000000000,412.3000000000000000,483.1000000000000000,45973
2011-04-01,257.37,1454.0365332142233333,10.3000000000000000,415.5666666666666667,486.0000000000000000,45973
2011-07-01,258.88,1638.5745185082467667,10.3000000000000000,417.0333333333333333,487.3666666666666667,45973
2011-10-01,258.35,1640.2725720800566333,9.9333333333333333,418.1333333333333333,489.4666666666666667,45973
2012-01-01,251.69,1948.2954978002199667,9.6000000000000000,420.5333333333333333,492.3333333333333333,48121
2012-04-01,247.39,1825.9201655315933000,9.4000000000000000,423.5666666666666667,496.0000000000000000,48121
2012-07-01,250.43,2086.6187812116833333,9.0000000000000000,426.1333333333333333,498.2333333333333333,48121
2012-10-01,253.46,2197.2078047172532333,8.7666666666666667,429.7000000000000000,502.4333333333333333,48121
2013-01-01,253.72,2689.2185236647499333,8.6333333333333333,434.5333333333333333,507.6333333333333333,46992
2013-04-01,259.79,2989.1186749334133333,8.4000000000000000,437.9333333333333333,511.5666666666666667,46992
2013-07-01,263.4,2886.3922938264265667,8.0666666666666667,439.0666666666666667,512.6666666666666667,46992
2013-10-01,266.79,2956.7855095733700000,7.7000000000000000,443.4333333333333333,517.4333333333333333,46992
2014-01-01,270.89,2791.6701971840766333,7.4000000000000000,444.3000000000000000,518.9666666666666667,49555
2014-04-01,277.18,2805.8968139531266667,7.3000000000000000,448.4666666666666667,523.8000000000000000,49555
2014-07-01,282.43,3223.1682814200666667,7.0666666666666667,453.1000000000000000,529.4000000000000000,49555
2014-10-01,284.41,3328.2225682582930000,6.6333333333333333,455.3666666666666667,532.0666666666666667,49555
2015-01-01,288.53,3062.2951561505199333,6.3333333333333333,458.8666666666666667,536.0000000000000000,50768
2015-04-01,295.65,3790.7447402567770000,6.1000000000000000,462.3666666666666667,539.5000000000000000,50768
2015-07-01,299.74,3551.8730056237463333,5.8666666666666667,467.6000000000000000,545.6000000000000000,50768
2015-10-01,302.1,3961.5771188318101000,5.6333333333333333,473.8333333333333333,553.4333333333333333,50768
2016-01-01,304.84,4203.3073962283505667,5.4666666666666667,479.0333333333333333,559.0666666666666667,53527
2016-04-01,313.5,4240.2912693769800000,5.3333333333333333,481.7000000000000000,563.2666666666666667,53527
2016-07-01,318.97,3884.9465945250367667,5.3666666666666667,483.9333333333333333,566.2666666666666667,53527
2016-10-01,321.74,4567.5083766472930000,5.3666666666666667,486.3666666666666667,569.3666666666666667,53527
2017-01-01,324.47,4400.9862388639199667,5.1000000000000000,486.3666666666666667,570.1333333333333333,57985
2017-04-01,333.44,3854.1450529368736667,4.8000000000000000,488.1666666666666667,572.9000000000000000,57985
2017-07-01,338.75,4423.5712640195666667,4.5333333333333333,489.0000000000000000,575.2333333333333333,57985
2017-10-01,342.15,3695.2107885377734667,4.3333333333333333,490.6666666666666667,577.4333333333333333,57985
2018-01-01,350.5,4795.1883392716531667,4.1666666666666667,493.1333333333333333,581.1000000000000000,55821
2018-04-01,358.92,4547.0861973667536667,4.0000000000000000,496.3333333333333333,585.4000000000000000,55821
2018-07-01,364.63,4466.2631608206870000,3.8333333333333333,501.4666666666666667,591.4000000000000000,55821
2018-10-01,366.85,5003.3734494360100000,3.8000000000000000,504.2666666666666667,594.4333333333333333,55821
2019-01-01,372.48,4221.8391634707636000,3.7333333333333333,511.1666666666666667,602.4333333333333333,56628
2019-04-01,380.34,4251.8938032476296667,3.5666666666666667,513.1000000000000000,604.8000000000000000,56628
2019-07-01,385.41,4226.9339569545533333,3.3000000000000000,517.2000000000000000,610.5666666666666667,56628
2019-10-01,389.63,4550.0771224547867667,3.1333333333333333,527.1333333333333333,621.5666666666666667,56628
